t,y_scaled
0,0.2284166418711803
1,-0.0324540713656785
2,0.1158332281255608
3,0.511851705806044
4,0.5434960376431689
5,0.1938136989532725
6,1.0922645015167405
7,1.0632898568441758
8,1.0504648664734924
9,1.1812346871522648
10,0.7723151830360614
11,1.0561820032001186
12,0.8793799503212488
13,1.3860099318898949
14,1.1686992076951117
15,1.572134537939101
16,0.6697699338026041
17,0.5983997689466841
18,0.956813666205681
19,0.9487284436724368
20,0.5304202100970714
21,0.6591537244743091
22,0.3712803607747988
23,0.5040533663955659
24,0.5565896504609134
25,0.1312985066356248
26,0.0003584373884004
27,0.0815336305696525
28,-0.55877357522259
29,-0.6811314104517197
30,-0.1161400142977316
31,-0.8580477153838082
32,-0.6860296086972824
33,-1.4452920002549383
34,-0.7418001803580256
35,-0.8887639807961208
36,-0.7562208309900589
37,-0.7673882033795946
38,-0.950694913012348
39,-1.071769512224918
40,-1.1308136737588446
41,-0.7809291683306903
42,-1.1111778400592476
43,-0.702731765386377
44,-0.5812704926971486
45,-0.6266819022067781
46,-0.3136714908782425
47,-0.6427268172902867
48,-0.1373613692468344
49,0.0480679169330206
50,0.158844261539971
51,0.3010254012456118
52,0.1810862482244918
53,0.4733235709616689
54,0.7850755128276029
55,0.8484997609535933
56,0.9100553508726524
57,0.7396955869095541
58,0.9763986294865772
59,1.2372190700026229
60,0.8467357273297788
61,1.3716082356970487
62,1.6069912345161408
63,0.7226034502361837
64,1.2543726630507988
65,0.9419580903951308
66,1.0375319582566167
67,1.3029491706226053
68,6.56214158557071
69,0.7676837707284927
70,0.472319522388749
71,-5.310046022102278
72,0.873911711095609
73,0.2480327347618391
74,0.2933890124121679
75,0.2797788827893699
76,-0.5070014907755457
77,-0.0138030927659818
78,-0.4895303625734978
79,-0.5138548303278228
80,-0.5860212967480258
81,-0.6434145530864382
82,-1.0558371970297935
83,-0.7521423194449043
84,-1.436653939520954
85,-0.8047852123760874
86,-0.8531347013876445
87,-0.903632641692864
88,-0.9310056689116956
89,-1.1189979486827404
90,-0.9406493048499778
91,-0.8895341017284258
92,-0.9282459764307472
93,-0.6620495184179414
94,-0.5134547294078939
95,-0.5016908801379703
96,-0.2162902789893391
97,-0.3805792257401275
98,-0.506935473816613
99,-0.0130074848240869
100,-0.2292402711514628
101,-5.504783192323576
102,0.2977054793722538
103,0.2425048740612189
104,0.6330526793654551
105,0.977982082880816
106,1.3062837787552135
107,0.8332126775300028
108,1.2258620853633384
109,1.1913039279462478
110,1.4735811385193918
111,1.123406936024904
112,1.1123221576692783
113,1.2244006949792658
114,1.465379046073584
115,0.7995506563884889
116,1.3714454043837367
117,0.8733733361793705
118,0.7757006014504446
119,0.6619588113945963
120,0.6257126961704527
121,0.3251433396740688
122,0.2555983591014747
123,0.1153839652858467
124,-0.2067855451855831
125,0.016145561085127
126,0.2254067218594041
127,0.0755616068461213
128,0.080518666405079
129,-0.2920075175283472
130,-0.724686245741234
131,-1.03324158483438
132,-0.8713439408229433
133,-0.8704837801425288
134,-0.9281116899185354
135,-0.9644415983657004
136,-0.8129795310540955
137,-1.210145134539322
138,-0.8450614536674531
139,-0.8658765017805998
140,-1.0785292893927687
141,-1.1344886631088495
142,-0.7657778690778324
143,-0.7738064244449191
144,-0.5651968777016415
145,-0.7030250873114852
146,-0.9496867336559072
147,-0.3704526849169354
148,-0.2369874165936233
149,-0.1321503968103185
150,0.2773583511280493
151,-5.622265948279992
152,0.1930286947928208
153,0.3607365086174629
154,0.8489082382864973
155,0.4486842897463654
156,0.9498603364222372
157,0.9328311467107274
158,1.1302041153575435
159,0.9835154820635482
160,1.502585738757381
161,1.3440374514395834
162,1.4981980129820325
163,0.7772962124507106
164,1.749789334728425
165,1.476741507700665
166,0.8571501679542494
167,1.054896041010904
168,0.9494496710771738
169,0.8035376538123374
170,0.6814112692249917
171,0.492396594159566
172,0.3332513572961046
173,-0.162217780906326
174,0.4705038499265799
175,-0.1942993291986297
176,0.0796424878394674
177,-0.4977760935074483
178,-0.1220573891010877
179,-0.7305782361071794
180,-0.7619656409064121
181,-0.8541987450556658
182,-0.619542125237674
183,-1.3052193008660085
184,-1.3358903125324473
185,-0.9302764564114184
186,-0.948312300177506
187,-1.0153156834772945
188,-1.1247586159509078
189,-1.5367944068320414
190,-1.047130832396712
191,-1.0627554340987406
192,-0.6517969408303045
193,0.1736904404270928
194,-0.7690190454923529
195,-0.406767521648265
196,-0.3099958007723065
197,-0.1037916522611307
198,0.0001358160140477
199,-0.015424959065692
0,0.6823101347996336
1,-0.1484162838968719
2,-0.1675232501632703
3,0.3770563833904737
4,0.2647122574120701
5,0.5324465940880868
6,0.0408032356658854
7,0.8660563858036028
8,0.1063801087772562
9,0.6316324620936271
10,0.605012707921002
11,0.5687564668866821
12,1.9169106609331037
13,2.326877451329095
14,1.09320427120076
15,2.154342353664016
16,0.1621205361744672
17,1.0128623007390023
18,0.5189480110003516
19,1.352923185897591
20,1.009124103114976
21,0.6169947381383112
22,1.3390060920995852
23,0.4760618814364773
24,1.6526292488635963
25,0.0009484909335848
26,-0.8516312497818527
27,-0.1366594606381145
28,-1.1020410752092824
